ID	species	abundance	season
45	Anaerostipes_hadrus	0.04025	2014dry
46	Anaerostipes_hadrus	0.11628	2014dry
47	Anaerostipes_hadrus	0.78039	2014wet
48	Anaerostipes_hadrus	1.07763	2014dry
49	Anaerostipes_hadrus	0.18768	2014wet
50	Anaerostipes_hadrus	0.00842	2014wet
51	Anaerostipes_hadrus	0.44438	2014wet
52	Anaerostipes_hadrus	0.48874	2014wet
53	Anaerostipes_hadrus	0.63901	2014wet
54	Anaerostipes_hadrus	0.08952	2014wet
55	Anaerostipes_hadrus	0.152	2014dry
56	Anaerostipes_hadrus	0.13983	2014dry
57	Anaerostipes_hadrus	0.06666	2014wet
58	Anaerostipes_hadrus	0.78569	2014wet
59	Anaerostipes_hadrus	0.0	2013dry
60	Anaerostipes_hadrus	0.0819	2013dry
61	Anaerostipes_hadrus	0.0	2013dry
62	Anaerostipes_hadrus	0.0	2013dry
63	Anaerostipes_hadrus	0.07896	2013dry
64	Anaerostipes_hadrus	0.0	2013dry
65	Anaerostipes_hadrus	0.30681	2013dry
66	Anaerostipes_hadrus	0.01637	2013dry
67	Anaerostipes_hadrus	0.0	2014dry
68	Anaerostipes_hadrus	0.0	2014dry
69	Anaerostipes_hadrus	0.20906	2014dry
70	Anaerostipes_hadrus	0.0	2014dry
71	Anaerostipes_hadrus	0.0	2014dry
72	Anaerostipes_hadrus	0.5047	2014dry
73	Anaerostipes_hadrus	0.44761	2014dry
74	Anaerostipes_hadrus	0.66396	2014wet
75	Anaerostipes_hadrus	0.0	2014wet
76	Anaerostipes_hadrus	0.04977	2014wet
77	Anaerostipes_hadrus	0.0	2014wet
78	Anaerostipes_hadrus	0.0	2014wet
79	Anaerostipes_hadrus	0.13319	2014wet
80	Anaerostipes_hadrus	0.98098	2014wet
81	Anaerostipes_hadrus	0.0604	2014wet
82	Anaerostipes_hadrus	0.08868	2014wet
83	Anaerostipes_hadrus	0.68859	2014wet
84	Anaerostipes_hadrus	0.0	2014dry
45	Butyrivibrio_crossotus	0.0	2014dry
46	Butyrivibrio_crossotus	0.10367	2014dry
47	Butyrivibrio_crossotus	1.19938	2014wet
48	Butyrivibrio_crossotus	0.0	2014dry
49	Butyrivibrio_crossotus	0.0	2014wet
50	Butyrivibrio_crossotus	0.0	2014wet
51	Butyrivibrio_crossotus	0.0	2014wet
52	Butyrivibrio_crossotus	0.01169	2014wet
53	Butyrivibrio_crossotus	0.31398	2014wet
54	Butyrivibrio_crossotus	0.98333	2014wet
55	Butyrivibrio_crossotus	0.37911	2014dry
56	Butyrivibrio_crossotus	0.0	2014dry
57	Butyrivibrio_crossotus	1.63549	2014wet
58	Butyrivibrio_crossotus	0.0	2014wet
59	Butyrivibrio_crossotus	0.68649	2013dry
60	Butyrivibrio_crossotus	0.0	2013dry
61	Butyrivibrio_crossotus	0.0	2013dry
62	Butyrivibrio_crossotus	0.45146	2013dry
63	Butyrivibrio_crossotus	0.0	2013dry
64	Butyrivibrio_crossotus	0.4216	2013dry
65	Butyrivibrio_crossotus	0.0139	2013dry
66	Butyrivibrio_crossotus	0.0	2013dry
67	Butyrivibrio_crossotus	0.0	2014dry
68	Butyrivibrio_crossotus	0.52754	2014dry
69	Butyrivibrio_crossotus	0.0	2014dry
70	Butyrivibrio_crossotus	0.0	2014dry
71	Butyrivibrio_crossotus	0.13262	2014dry
72	Butyrivibrio_crossotus	0.0	2014dry
73	Butyrivibrio_crossotus	0.0	2014dry
74	Butyrivibrio_crossotus	0.0	2014wet
75	Butyrivibrio_crossotus	0.0	2014wet
76	Butyrivibrio_crossotus	0.0	2014wet
77	Butyrivibrio_crossotus	0.0	2014wet
78	Butyrivibrio_crossotus	0.0	2014wet
79	Butyrivibrio_crossotus	0.06635	2014wet
80	Butyrivibrio_crossotus	0.0	2014wet
81	Butyrivibrio_crossotus	0.05648	2014wet
82	Butyrivibrio_crossotus	5.30027	2014wet
83	Butyrivibrio_crossotus	0.0	2014wet
84	Butyrivibrio_crossotus	0.02818	2014dry
45	Catenibacterium_mitsuokai	0.0	2014dry
46	Catenibacterium_mitsuokai	0.09561	2014dry
47	Catenibacterium_mitsuokai	2.76842	2014wet
48	Catenibacterium_mitsuokai	1.3529	2014dry
